"","x"
"doing",-0.0154887458785765
"shoot",-0.0116394470244868
"far_too",-0.221707486060021
"project",-0.0248437208641514
"you'd",-0.0900635504675758
"very_disappointed",-1.27085453589123
"not_very_good",-0.79950179758402
"what_thinking",-0.710461470718376
"just_didn't",-0.36980744440547
"trite",-0.598346494160343
"bad_writing",-0.305071919412678
"only_saving",-1.21772125968708
"original",-0.133903263597722
"below_average",-1.08259633392315
"producers",-0.0830804614339949
"fell_asleep",-0.334742776479783
"first_place",-0.0759121008733713
"b_movie",-0.0319366815198277
"no_story",-0.378518869046164
"paint_dry",-0.0544748856615056
"paper",-0.186584629548799
"explained",-0.0775345610140917
"cardboard",-0.253097708425246
"alright",-0.207481623052018
"two_hours",-0.220547407371137
"2_out_of",-0.0218759151690351
"year_olds",-0.969275327284844
"for_this",-0.101800295721252
"yawn",-0.776329981332403
"ruined",-0.220874930518295
"on_on",-0.0325122977359776
"2_out",-0.214541694097902
"stinks",-0.139631067519229
"doesn't_make",-0.290960199162113
"why_do",-0.188987184498915
"doesn't_help",-0.705478512524566
"care",-0.0316293080722658
"otherwise",-0.19622567308626
"cash_in",-0.164209869184182
"made_no_sense",-0.0944239970272293
"toilet",-0.151806034932202
"dud",-0.354684045297859
"thin",-0.174275659982841
"to_act",-0.101246691414278
"care_about",-0.0800698920619275
"to_video",-0.0627933595638479
"about_only",-0.0742492185464602
"minutes_or",-0.1608518220064
"but_then",-0.116185240171641
"lacking",-0.269845728997263
"incomprehensible",-0.242833224184579
"don't_believe",-0.199220041611143
"grade_d",-1.1708403781833
"to_believe",-0.0383037815722526
"be_comedy",-0.349225824803937
"too_many",-0.206552319760716
"mention",-0.0584923744936767
"wanted_to_like",-1.06260577583975
"of_this_movie",-0.0260387707583519
"way_too_long",-0.639806936307258
"scientist",-0.180364238508179
"not_recommended",-0.764669815543537
"screaming",-0.0449661037212283
"embarrassment",-0.24042908642003
"actors",-0.0453553952320896
"any_real",-0.139910107111916
"movie_could_been",-0.508041769040084
"this_junk",-0.0456613402355792
"stock_footage",-0.576181513835349
"insipid",-0.510169665539917
"bottom_of",-0.296776180940852
"walked",-0.204337845557054
"one_dimensional",-0.208095683850354
"seems",-0.043450984448022
"blood",-0.0866225866547174
"deserve",-0.0643263639184542
"if_director",-0.125644892081328
"repetitive",-0.0508617109921417
"stick_to",-0.317437014867069
"really_wanted",-0.0384338496580462
"to_believe_that",-0.284191006504012
"no_chemistry",-0.234655539834375
"of_clichés",-0.169636350883807
"looking",-0.0756588195741846
"nor",-0.129450086225343
"dimensional",-0.0305918414996589
"this_movie_had",-0.0657802615730036
"not_very",-0.401777994580176
"naked",-0.03787718824762
"like_watching",-0.177488371304026
"wonder",-0.0925775111304797
"embarrassingly",-0.0741946579362206
"not_enough_to",-0.747029234316083
"disappointed",-0.0643889636577384
"sadly",-0.298645662438117
"stunk",-0.418197862354983
"hated",-0.1295717955181
"plastic",-0.108155538996066
"bin",-0.358410361963391
"but_even",-0.0515419017082474
"muddled",-0.382913569706564
"wretched",-0.610798485745289
"on_plus_side",-0.95987509871701
"sub_par",-0.0841742415084401
"at_best",-0.160364003675
"miscast",-0.461386515071014
"thrown",-0.140205440991332
"watchable",-0.162289715600094
"unrealistic",-0.00677939025231683
"what_point_of",-0.788688095469331
"felt_like",-0.0343984045860983
"remake",-0.0841354784366279
"value",-0.0694454208934128
"better_to_do",-0.017668522165175
"had_high",-0.854768681175472
"i'm_afraid",-0.57396767409163
"lackluster",-0.564261270283153
"funny_or",-0.101104219073361
"lifeless",-0.60841478423826
"spent_on",-0.0205707481896005
"does_nothing",-0.036932699031009
"other_than",-0.000812111860417673
"unintentionally",-0.181373442911824
"be_worth",-0.336962904748526
"not_much",-0.131847913301207
"something_better",-0.590317763654227
"just_too",-0.134867193206631
"abomination",-0.0799495531110781
"interesting_but",-0.388540099861314
"unfortunately_this",-0.186717646218659
"paint",-0.181206485814659
"say_about",-0.15698911930323
"did_this",-0.239298069395055
"wow",-0.0382939912766704
"badly_acted",-0.296264022230555
"downhill_from",-0.222745512436862
"but_why",-0.237050041197193
"positive",-0.137983926822827
"f",-0.0284145299709015
"only_positive",-0.230140461029169
"numbing",-0.0984241237974975
"better_off",-0.310297409721992
"seagal",-0.0402805545348398
"walking_around",-0.173746654210444
"shelf",-0.0431283370548291
"believe_that",-0.00391238415760765
"accent",-0.1144324996211
"call_that",-0.354036763222937
"to_work_with",-0.115006568838409
"without_any",-0.200732671977555
"could_been_good",-0.298877916353607
"first_off",-0.0296887246154321
"revolting",-0.422141173982438
"no_purpose",-0.11110811917038
"tired",-0.12898900272366
"chick",-0.121118847975087
"devoid_of",-0.0768372559228337
"ended_up",-0.00242675081402098
"doing_in_this",-0.29582397633685
"nothing_good",-0.603176448387544
"from_outer_space",-0.173234045184928
"read_book",-0.474450702368312
"forwarding",-0.302966748874095
"really_disappointed",-1.19715211806705
"problem_with_this",-0.215736606224629
"been_much",-0.668746557271024
"unlikeable",-0.115392027615674
"biggest_problem",-0.174302134577079
"lacked",-0.248869669141364
"even_close",-0.399860355805381
"not_make",-0.0849301688984545
"coherent",-0.135099248892837
"inappropriate",-0.242419297479967
"could_been_so_much",-0.0477413804739649
"run_around",-0.487826406160788
"if_had",-0.0139293350758643
"next_time",-0.0812320906602206
"no_wonder",-0.272748827298023
"too_much",-0.0855073077819561
"of_life_back",-0.24063776762194
"just_doesn't_work",-0.0593161950781074
"does_not_work",-0.305498870186815
"promising",-0.302878596677675
"main_problem",-0.371419050523625
"director",-0.132978695100629
"on_earth",-0.0554414156931949
"wouldn't_recommend",-0.117880688486312
"very_little",-0.1474179551492
"some_guy",-0.0128881296336114
"isn't_funny",-0.137324682781433
"be_avoided",-0.047145134413201
"reason_for",-0.144444792552516
"give_3",-0.715495505221077
"die",-0.0350233448902743
"of_zombies",-0.103948830271987
"stilted",-0.578115005928881
"hideous",-0.0585011375395725
"make_out",-0.0493691610114235
"money_to_see",-0.47752062574859
"confusing",-0.163453504880056
"in_grave",-0.849363524916945
"turd",-0.383520232204395
"nothing_better_to",-1.40419351215216
"this_dull",-0.587032224379653
